source account,text,date,tweets ago,compound score,positive score,neutral score,negative score
@BBC,"🤔👔 This men's T-shirt shirt is selling for £935 and it's left loads of people pretty baffled.
👉… https://t.co/yONjwKqdkz",2018-06-02,11,0.4939,0.151,0.849,0.0
@BBC,🦆 Swans have been borrowing items from @SteveBackshall to build their nests for the last few years.  https://t.co/d5S5PG9Ygi,2018-06-02,12,0.0,0.0,1.0,0.0
@BBC,"📸🐶 Call the puparazzi, these divas are ready to shine! 💎https://t.co/zYrpgXF69z",2018-06-02,13,0.4199,0.218,0.782,0.0
@BBC,"🙌❤️ Take us back to @NiallOfficial at #BiggestWeekend.

There's still time to catch up on this incredible set + lot… https://t.co/sP2h8cjgsw",2018-06-02,14,0.0,0.0,1.0,0.0
@BBC,"RT @bbcmusic: We knew @TaylorSwift13 was trouble when she touched down in Swansea 😅😍

Watch her showstopping @BBCR1 #BiggestWeekend set in…",2018-06-02,15,-0.4019,0.0,0.881,0.119
@BBC,🎤❤️ #BTS are on the lips and screens of fans everywhere as the #Kpop band smash records in real life and on social… https://t.co/h7KwxeZQm5,2018-06-01,16,0.0,0.0,1.0,0.0
@BBC,😈 Cute...but deadly. https://t.co/lhpd0watrN,2018-06-01,17,0.0,0.0,1.0,0.0
@BBC,Leaving work on a Friday like... 👋💃#FridayFeeling @Camila_Cabello https://t.co/oJUssdSPfb,2018-06-01,18,0.0,0.0,1.0,0.0
@BBC,🧠🎞 A film where the plot changes depending on the viewer’s brain activity has been developed. https://t.co/7UCYCO7Xyz,2018-06-01,19,0.0,0.0,1.0,0.0
@BBC,RT @BBCScotland: Watch one of Scotland's best-known structures appear from the mist in this stunning timelapse https://t.co/h0mUFTKcmQ,2018-06-01,20,0.4588,0.158,0.842,0.0
@BBC,"RT @bbcgetinspired: Meet the Nawaz family and hear how #SuperMovers is helping them get a better night’s sleep. 

Remember to check out Sup…",2018-06-01,21,0.6249,0.203,0.797,0.0
@BBC,"A natural hair dye based on the blackcurrant waste from the production of Ribena has been created by scientists.
👉… https://t.co/4e001z6rPc",2018-06-01,22,0.1779,0.185,0.7,0.115
@BBC,"Smithy knows how to celebrate #nationalfishandchipday properly. 😂🍟

https://t.co/FFV75BsW0Q",2018-06-01,23,0.5719,0.316,0.684,0.0
@BBC,"🌽🍔🌮 Vegan junk food, anyone? 
#MillionPoundMenu https://t.co/MY5i9Xph5H",2018-06-01,24,0.0,0.0,1.0,0.0
@BBC,RT @BBCTwo: Want to learn some quick Swedish and Danish? Here’s the cast of #TheBridge with some everyday phrases you might need… ☠😱 https:…,2018-06-01,25,0.0772,0.053,0.947,0.0
@BBC,😢 @NatGeoMag has published a selection of startling photos highlighting the vast amounts of discarded plastic choki… https://t.co/vdjw1nnW36,2018-06-01,26,-0.2732,0.073,0.791,0.136
@BBC,"RT @BBCBreakfast: Come on then, who wants to get their hands on the world's largest freshwater pearl? 🙋🙋‍♂️ https://t.co/C0QV5sHSRx",2018-06-01,27,0.0,0.0,1.0,0.0
@BBC,"🎶 Won’t you listen to the man that’s… reading you a #BedtimeStory! 
 
📚 Catch @george_ezra tonight on #CBeebies! https://t.co/mcCzqePrQ7",2018-06-01,28,0.0,0.0,1.0,0.0
@BBC,"RT @BBC6Music: Which Biggest Weekend sets will you be watching back on iPlayer?

We asked Neneh (@misscherrylala), @Hanpeel, @Franz_Ferdina…",2018-06-01,29,0.0,0.0,1.0,0.0
@BBC,"This guy is INCREDIBLE 😂
#Hardball https://t.co/HiI4Uxe5TZ",2018-06-01,30,0.0,0.0,1.0,0.0
@BBC,The 1960s counterculture fuelled an artistic explosion in the US – but were the flower children merely privileged?… https://t.co/T81ZRLcQQr,2018-06-01,31,0.0,0.0,1.0,0.0
@BBC,Is individualism to be celebrated or lamented? https://t.co/85gs317qM5,2018-06-01,32,0.3182,0.306,0.496,0.198
@BBC,"'There's nothing a man can do that a woman cannot do'. 

Meet the Nigerian girls fighting out of poverty. 🥊

https://t.co/d0fm8HShEK",2018-05-31,33,-0.7003,0.0,0.734,0.266
@BBC,"Did @PanicAtTheDisco's @BrendonUrie just reveal he was almost in The Greatest Showman? 😱🎶

https://t.co/7YXvyrTfHw",2018-05-31,34,0.6041,0.232,0.768,0.0
@BBC,"😍 A baby tamandua called Poco has been born at @ZSLLondonZoo and we're in love. 
👉 https://t.co/RM8LMd1PXm https://t.co/vI4Jkn6iVG",2018-05-31,35,0.6369,0.231,0.769,0.0
@BBC,"Introducing: the little owl! 🦉 💚

Less nocturnal than other owls, you can often see these birds during the day.

https://t.co/Tn8nNXr5Wd",2018-05-31,36,0.0,0.0,1.0,0.0
@BBC,"RT @bbcthree: We asked people how debt has made them feel. 

More #debtweek content here: https://t.co/UJmBR9F7ij https://t.co/eEycLWdPlu",2018-05-31,37,-0.3612,0.0,0.865,0.135
@BBC,"RT @BBCSport: #AnnounceVR = ✅

#AnnounceUltraHD = ✅ 

#bbcworldcup #worldcup https://t.co/PQuzRhjh7L",2018-05-31,38,0.0,0.0,1.0,0.0
@BBC,This is what London looked like 2000 years ago.  #LondonHistoryDay https://t.co/oR66LdjZfs,2018-05-31,39,0.3612,0.2,0.8,0.0
@BBC,"RT @BBC3CR: For the first time in the history of Luton International Carnival, a group of blind and visually impaired people have taken par…",2018-05-31,40,-0.4019,0.0,0.891,0.109
@BBC,"""Goodbye my friend..."" 🇬🇧 🧡

On this day 20 years ago, @GeriHalliwell announced that she was leaving the Spice Girl… https://t.co/NZtZJfNyBF",2018-05-31,41,0.0,0.0,1.0,0.0
@BBC,🎧🎤 South Korean boy band @BTS_twt have this week become the first #Kpop artists to reach number one on the US album… https://t.co/pb9roPNAKU,2018-05-31,42,0.1027,0.103,0.897,0.0
@BBC,"RT @BBCR1: Who's been enjoying @AdeleRoberts' Tune of the Week from @BTS_twt? 😍

Make sure you're listening tomorrow morning to hear her pl…",2018-05-31,43,0.6908,0.222,0.778,0.0
@BBC,"'No one's life should end because of debt.'
A debt counsellor writes: 'No matter how big the problem, there's alway… https://t.co/DNgWWkaTFN",2018-05-31,44,-0.8176,0.043,0.584,0.374
@BBC,"Will you marry me? 💍 
Will you marry me? 💍

This double marriage proposal video gives us all the feels. https://t.co/xLR4N7qtaZ",2018-05-31,45,0.0,0.0,1.0,0.0
@BBC,"When a hedgehog causes carnage. 😂🦔 #CarShare @peterkay_co_uk
https://t.co/8gbgEKhFqf",2018-05-31,46,0.0,0.0,1.0,0.0
@BBC,"😋🍽 Feast your eyes on fantastic, healthy lunch recipes to keep you fuller for longer.
👉 https://t.co/qfzdu7Umdp https://t.co/iWjOuhR8dE",2018-05-31,47,0.743,0.296,0.704,0.0
@BBC,"Japanese hunters caught and killed 122 pregnant minke whales as part of its Antarctic summer 'field survey'.
👉… https://t.co/vZxb1v7EGc",2018-05-31,48,-0.6705,0.0,0.8,0.2
@BBC,"RT @BBCR1: ⚡️ “Nick Grimshaw and Greg James to swap Radio 1 shows”

https://t.co/mUcM0Nkrpo",2018-05-31,49,0.0,0.0,1.0,0.0
@BBC,RT @bbcpress: 📻 BREAKING: @Grimmers and @GregJames to swap @BBCR1 shows. Greg will be the new host of @R1Breakfast from this Autumn: https:…,2018-05-31,50,0.0,0.0,1.0,0.0
@BBC,"❤️ David, a chauffeur of over 25 years, discovers a shared love of motors with 4 year old Leo, who's on the autism… https://t.co/e26favMTTV",2018-05-31,51,0.765,0.258,0.742,0.0
@BBC,🌋 The @USGS has responded to a social media query on whether it is safe to roast marshmallows over a volcanic vent.… https://t.co/yuFNJxj9Mr,2018-05-31,52,0.4404,0.132,0.868,0.0
@BBC,"These cuddling baby hares are the cutest thing you'll see today. 💕🐰

https://t.co/LgJsY4XuHD",2018-05-30,53,0.5859,0.241,0.759,0.0
@BBC,"Tonight, @DrJavidA and four overweight volunteers put crash diets to the test. 

The Big Crash Diet Experiment | 8p… https://t.co/CelWcfGMQR",2018-05-30,54,-0.7845,0.0,0.669,0.331
@BBC,"She came, she sang and she conquered! 🎶❤️️🙌

Catch up with @taylorswift13's INCREDIBLE #BiggestWeekend performance… https://t.co/zHXlBJu9Tw",2018-05-30,55,0.0,0.0,1.0,0.0
@BBC,"Otter-ly adorable! 😍🐚

This is how otters use tools to get into their favourite foods. #WorldOtterDay 

https://t.co/h6wjQTgukp",2018-05-30,56,0.5411,0.179,0.821,0.0
@BBC,"Meet the Muslims in Iceland who have one of the longest #Ramadan fasts in the world. 

How do they cope without foo… https://t.co/TVZ7GnKXXW",2018-05-30,57,0.0,0.0,1.0,0.0
@BBC,RT @BBCFOUR: This skyscraper in Venezuela was left abandoned... until 3000 local people moved in. https://t.co/yhil6DQmvm,2018-05-30,58,0.0,0.0,1.0,0.0
@BBC,😲 Archaeologists at Pompeii have uncovered the remains of an unfortunate man who was decapitated by an enormous roc… https://t.co/SocmD769Dw,2018-05-30,59,-0.4588,0.0,0.857,0.143
@BBC,"""Where words fail, music speaks."" ❤️️ 🎶

This is how music can support mental health. 👉 https://t.co/73icGIqxMp https://t.co/OMGSJBUmEs",2018-05-30,60,-0.2023,0.134,0.693,0.173
@BBC,"It's extraordinary to think how controversial drink-driving laws were in the 1960s...

https://t.co/4Vz1FcCA6k",2018-05-30,61,-0.2023,0.0,0.87,0.13
@BBC,"RT @bbcpress: 🆕 @MatthewRhys, Jamie Dornan and Ann Skelly to star in Allan Cubitt’s #DeathAndNightingales for @BBCTwo: https://t.co/uGXBlqT…",2018-05-30,62,0.0,0.0,1.0,0.0
@BBC,"RT @bbcpress: 🕺💃 Introducing @jojo_radebe, @LubaMushtuk and Graziano Di Prima. Three new professional dancers join #Strictly's biggest ever…",2018-05-30,63,0.296,0.115,0.885,0.0
@BBC,RT @bbcpress: #TheSplit will return to @BBCOne for a second series in 2019: https://t.co/tenIOifF8N https://t.co/QKzMn9blwo,2018-05-30,64,0.0,0.0,1.0,0.0
@BBC,The realities of period poverty in the UK: These photographs show what some women and girls have to put in their un… https://t.co/prgB8nqX4l,2018-05-30,65,-0.5106,0.0,0.87,0.13
@BBC,RT @BBCTheOneShow: This dog and ducklings are the best of friends... 🐶🐧❤️Watch the full film on our website: https://t.co/vowml25sM0 #Frien…,2018-05-30,66,0.6369,0.181,0.819,0.0
@BBC,"RT @BBCSpringwatch: Time for a #Springwatch challenge! Spot the nest! 

Let us know how many you spotted in the comments 💚 https://t.co/pdQ…",2018-05-30,67,0.2225,0.09,0.91,0.0
@BBC,"RT @bbcstories: Important lifeline or annoying label - how do you feel about your #MentalHealth diagnosis?

Watch the full #BBCLikeMinds fi…",2018-05-30,68,-0.2263,0.08,0.8,0.12
@BBC,"RT @BBCOne: Never tell Jeff Goldblum you look like him.
#TheGNShow @TheGNShow https://t.co/xBzd7cDeVl",2018-05-30,69,0.3612,0.172,0.828,0.0
@BBC,RT @bbcwritersroom: Here's the first of our comedy monologues made specially for the #BiggestWeekend This one is called 'Porta-Lols' set in…,2018-05-30,70,0.3612,0.111,0.889,0.0
@BBC,"RT @bbcthree: We’re launching #DebtWeek to help examine the underlying issues associated with our new factual drama #KilledByMyDebt

In one…",2018-05-30,71,0.4019,0.124,0.876,0.0
@BBC,"RT @bbcthree: ""I wake up on a Monday morning and I have literally no idea how much money I'll make that week."" 

Confessions of a bailiff.…",2018-05-30,72,-0.296,0.0,0.909,0.091
@BBC,RT @bbccomedy: When a hedgehog causes carnage. #CarShare https://t.co/QUTPjviik0,2018-05-30,73,0.0,0.0,1.0,0.0
@BBC,Some of the banana corporations operating in Colombia have questions to answer about their role in what's afflicted… https://t.co/zgOIjYYQCZ,2018-05-30,74,0.0,0.0,1.0,0.0
@BBC,"🐌⚔️🕷
Snails, swords and spiders: The odd origins of anatomical terms.
👉 https://t.co/vWuxv8FQ1L https://t.co/jHyoV7QR9M",2018-05-30,75,-0.3182,0.0,0.839,0.161
@BBC,Meet the Aymara woman who's become hooked on climbing mountains. https://t.co/p7TZik5PIS,2018-05-30,76,0.0,0.0,1.0,0.0
@BBC,"📺 @henrylouisgates takes a new look at the history of Africa, from the birth of humankind to the dawn of the 20th c… https://t.co/jSev8pPUTC",2018-05-29,77,0.0,0.0,1.0,0.0
@BBC,"Follow the stories of primary school children as they prepare to take the 11 plus test. 📝

Grammar Schools: Who Wil… https://t.co/yeUV6owNDd",2018-05-29,78,0.0,0.0,1.0,0.0
@BBC,🌈🚪 Aberdeen might be called the 'Granite City' but some parts of it are far from grey. https://t.co/3Ik85UScov,2018-05-29,79,0.0772,0.071,0.929,0.0
@BBC,A champion cheese-roller has broken the all-time record for the most cheeses won in Gloucestershire's death-defying… https://t.co/gcrRm1fAMN,2018-05-29,80,0.6983,0.329,0.542,0.129
@BBC,❤️😂 Dogs make the best therapists. https://t.co/0pf3tqwhGi,2018-05-29,81,0.6369,0.412,0.588,0.0
@BBC,RT @bbccomedy: All of us.  #NationalBiscuitDay @mermhart https://t.co/OgiAlgSHAX,2018-05-29,82,0.0,0.0,1.0,0.0
@BBC,"RT @BBCR1: We'd never cut you off, @brendonurie 😍

@PanicAtTheDisco's cover of @DUALIPA's 'IDGAF' just made our Tuesday 500% better. Waitin…",2018-05-29,83,0.5739,0.208,0.792,0.0
@BBC,"RT @bbcmusic: Niall 😍 

@NiallOfficial #BiggestWeekend https://t.co/RHPv20hnis",2018-05-29,84,0.0,0.0,1.0,0.0
@BBC,"Large numbers of endangered whale sharks have been sighted in waters off Madagascar.
👉 https://t.co/9Nhtm8JTNe https://t.co/zmsBR9FFNK",2018-05-29,85,0.0,0.0,1.0,0.0
@BBC,"RT @BBCR1: Wow! What an incredible weekend! 🎉
Don't know about you, but we're about ready to do that all over again!
What was your fave mom…",2018-05-29,86,0.8854,0.311,0.689,0.0
@BBC,RT @BBCSpringwatch: Foxes roam our cities and towns under the cover of darkness - and Kyle Moore is there to capture their adventures. 🦊 💚…,2018-05-29,87,0.1027,0.094,0.827,0.079
@BBC,"RT @bbcpress: #OurGirl returns to @BBCOne on 5 June, read interviews with @MichKeegan, @BenAldridge07, new boy @Olly_Rix and creator @TonyG…",2018-05-29,88,0.0,0.0,1.0,0.0
@BBC,"🥕🥒🥔🥔🍏🍌🍊🍞🍗
5 tips to keep food fresh beyond the 'best before' date. https://t.co/v9GYF3nLdX",2018-05-29,89,0.7579,0.394,0.606,0.0
@BBC,"📚 Seven novels by women that deserve your attention.
👉 https://t.co/5wlh0Qwv9h https://t.co/3G4faizN1w",2018-05-29,90,0.0,0.0,1.0,0.0
@BBC,"Everybody loves a ginger biscuit! 

If you fancy baking your own this #NationalBiscuitDay, @BBCFood has recipes fro… https://t.co/UcYnK50VyN",2018-05-29,91,0.6114,0.2,0.8,0.0
@BBC,🌏💫 Here's 13.8 billion years of history in four minutes. https://t.co/EBGmVry69j,2018-05-29,92,0.0,0.0,1.0,0.0
@BBC,"🍴 Many of us consciously eat a high-protein diet, but how much of it do we really need?
👉 https://t.co/cC8AEHoczZ https://t.co/linptZaqhI",2018-05-29,93,0.0,0.0,1.0,0.0
@BBC,"🎧🐠 These are the secret sounds of fish.
@aluciaprod #OurBluePlanet https://t.co/zmCZTDF2M5",2018-05-29,94,0.0,0.0,1.0,0.0
@BBC,"When Lear divides his kingdom, chaos descends on family and state. @anthonyhopkins and Emma Thompson star in… https://t.co/9ioqehDeZP",2018-05-28,95,-0.5719,0.0,0.821,0.179
@BBC,"When 'Akram' was a child, his family went to a preacher for blessings. Instead, he was sexually abused. 

This is h… https://t.co/YDt1DN5cBq",2018-05-28,96,0.0516,0.141,0.726,0.133
@BBC,"🐸🐣🐞 @BBCSpringwatch is back! 

Tonight, @ChrisGPackham and @michaelastrachan are joined by @SteveBackshall in the C… https://t.co/bMOQjVucsg",2018-05-28,97,0.0,0.0,1.0,0.0
@BBC,"Who needs exam revision when you have brownies?

#Procrastibaking is the new way to avoid all that stuff you need t… https://t.co/494kLLniXW",2018-05-28,98,-0.296,0.0,0.905,0.095
@BBC,RT @BBCRadMac: #NP on @BBC6Music - highlights from @underworldlive's incredible live set at @bbcmusic's #BiggestWeekend in Belfast. Watch i…,2018-05-28,99,0.0,0.0,1.0,0.0
@CBS,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",2018-06-01,0,-0.3903,0.062,0.807,0.131
@CBS,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,2018-06-01,1,0.8442,0.336,0.664,0.0
@CBS,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",2018-05-31,2,0.8932,0.455,0.545,0.0
@CBS,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",2018-05-30,3,0.4926,0.151,0.849,0.0
@CBS,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",2018-05-28,4,0.0,0.0,1.0,0.0
@CBS,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,2018-05-28,5,0.0,0.0,1.0,0.0
@CBS,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,2018-05-23,6,0.6239,0.211,0.789,0.0
@CBS,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",2018-05-23,7,0.5859,0.174,0.826,0.0
@CBS,Prepare yourself. The @NCIS_CBS season finale is unlike any other. Don't miss it TONIGHT at 8/7c. https://t.co/MOH6uiFc0C,2018-05-22,8,0.1139,0.083,0.917,0.0
@CBS,"Summer heats up with @CBSBigBrother, @SalvationCBS, and the brand-new competition series @TKOCBS. Find out when you… https://t.co/DxE7OnKs17",2018-05-22,9,0.0,0.0,1.0,0.0
@CBS,Who’s going to be watching the season finale of @ManWithAPlan tonight? RT if you'll be tuning in at 8:30/7:30c! https://t.co/ARLRtVuGuc,2018-05-21,10,0.0,0.0,1.0,0.0
@CBS,The season finale of @MadamSecretary will leave you speechless! Make sure to tune in tonight at 10/9c. https://t.co/hqxkLZsWpl,2018-05-20,11,0.3382,0.131,0.808,0.061
@CBS,The @NCISLA season finale is going to be a wild ride. Don't miss all of the action starting TONIGHT at 8/7c! https://t.co/PNtUuVf9VQ,2018-05-20,12,0.1867,0.08,0.92,0.0
@CBS,Retweet if you're ready for the #RoyalWedding! https://t.co/k57NM7OrXn,2018-05-19,13,0.4199,0.285,0.715,0.0
@CBS,It's going down (literally) on the Season Finale of @HawaiiFive0CBS when a submarine appears off the coast of Waiki… https://t.co/oD7Le5XUz6,2018-05-18,14,0.0,0.0,1.0,0.0
@CBS,"The #RoyalWedding is finally here, and you're invited! Join @CBSThisMorning’s @GayleKing and @etnow’s @KevinFrazier… https://t.co/Q5xiRkXLUz",2018-05-18,15,0.3595,0.151,0.849,0.0
@CBS,When the @LifeInPiecesCBS season finale is back-to-back episodes. 👏 Get ready for double the laughs at 9/8c! https://t.co/SYW5UzXobv,2018-05-17,16,0.7177,0.285,0.715,0.0
@CBS,Rules were made to be broken.💥 Don't miss the heart-pounding season finale of @swatcbs TONIGHT at 10/9c! https://t.co/NXLbeIrvcp,2018-05-17,17,0.1867,0.093,0.907,0.0
@CBS,"Is it fall yet? Check out the first looks at our new fall shows and stars from the CBS Upfront!

https://t.co/l7GQVRzRFw",2018-05-17,18,0.0,0.0,1.0,0.0
@CBS,How many shows can you binge in a month? Find out with a 1 month free trial of CBS All Access! Use code STREAMITALL… https://t.co/yccQppCaxC,2018-05-17,19,0.5562,0.146,0.854,0.0
@CBS,"Save the dates! The CBS Fall lineup is here, and we're welcoming six new shows in addition to returning hits. Which… https://t.co/f9PSQfpHL7",2018-05-17,20,0.75,0.242,0.758,0.0
@CBS,What happens when the friendliest guy in the Midwest moves his family next door to a not-so-friendly new LA neighbo… https://t.co/KtEoNE3deL,2018-05-16,21,0.5574,0.159,0.841,0.0
@CBS,"When @MurphyBrownCBS returns to the news world, things sure won't be what they used to be! The revival of the groun… https://t.co/jJcgyqyDxL",2018-05-16,22,0.3802,0.11,0.89,0.0
@CBS,"When decorated former Navy SEAL Thomas Magnum returns home to Hawaii, he embarks on a new mission: solving cases in… https://t.co/6n2MWY3c2f",2018-05-16,23,0.34,0.112,0.888,0.0
@CBS,The ordinary turns extraordinary for this suburban couple when an exuberant young pop star unexpectedly moves in wi… https://t.co/9xaAUSm5nm,2018-05-16,24,0.5859,0.174,0.826,0.0
@CBS,An outspoken atheist's life takes a surprising turn when he accepts a social media friend request from God! Watch w… https://t.co/EbVbL0SNDk,2018-05-16,25,0.8398,0.4,0.6,0.0
@CBS,"When danger threatens the nation, these elite agents risk their lives to keep it safe. Join them on the case when n… https://t.co/LuSY0jXBf9",2018-05-16,26,-0.4588,0.163,0.577,0.26
@CBS,Meet the new shows coming to CBS this fall!,2018-05-16,27,0.0,0.0,1.0,0.0
@CBS,So much TV to love! ❤️ Be sure to follow the shows of the CBS 2018-2019 primetime lineup and stay up-to-date on the… https://t.co/lQwGtznj5i,2018-05-16,28,0.7777,0.236,0.764,0.0
@CBS,"Every mission leaves its mark. Join us in the final mission to avenge Echo Team's deaths, tonight at 9/8c during th… https://t.co/SlfprTVDgD",2018-05-16,29,0.296,0.095,0.905,0.0
@CBS,"Get ready for three new comedies, five new dramas and the return of the critically acclaimed @MurphyBrownCBS. Here'… https://t.co/alHwUTRFKh",2018-05-16,30,0.6369,0.234,0.766,0.0
@CBS,"RT @happytogether: When an international pop star moves into your house, life gets a little more interesting! @wayansjr, @AmberoniStevens a…",2018-05-16,31,0.46,0.143,0.857,0.0
@CBS,"RT @TheNeighborhood: You can’t pick your neighbors, but Calvin sure wishes he could! @CedEntertainer stars in the new comedy #TheNeighborho…",2018-05-16,32,0.8122,0.33,0.67,0.0
@CBS,Tonight's the night - Agent Dwayne Pride's fate will be revealed. Don't miss the special two-hour season finale of… https://t.co/52amkSiNcA,2018-05-15,33,-0.2057,0.07,0.821,0.109
@CBS,"Donuts down, hands up! Get ready for a dramatic turn on the finale of @SuperiorDonuts TONIGHT at 9/8c. 🍩https://t.co/f5VSqOlRYu",2018-05-14,34,0.4199,0.141,0.859,0.0
@CBS,"RT @MagnumPICBS: Thomas Magnum is back on the case! @jay_hernandez stars in #MagnumPI, coming to #CBS. https://t.co/R1aURqMawD",2018-05-14,35,0.0,0.0,1.0,0.0
@CBS,"RT @GodFriendedMe: You never know who's going to send you a friend request. #GodFriendedMe, the new drama series starring @hall_m_brandon a…",2018-05-14,36,0.4939,0.144,0.856,0.0
@CBS,RT @TheRedLineCBS: Three Chicago families’ lives converge in the wake of a mistaken shooting. From acclaimed producers @ava and @GBerlanti…,2018-05-14,37,-0.3612,0.0,0.878,0.122
@CBS,"RT @FamCBS: No family is perfect, especially this #FAM! @ninadobrev, @toneBell and @odessaadlon star in the new #CBS comedy #FAM. https://t…",2018-05-14,38,0.6476,0.243,0.674,0.082
@CBS,"RT @TheCodeCBS: Their code is honor, courage and commitment. They pursue military justice at home and abroad. #TheCode coming to #CBS. http…",2018-05-14,39,0.9081,0.408,0.592,0.0
@CBS,RT @FBICBS: Meet the FBI agents who are investigating the most dangerous cases threatening our nation. From Emmy Winner Dick Wolf and the t…,2018-05-14,40,-0.762,0.111,0.586,0.303
@CBS,RT @MurphyBrownCBS: The ground-breaking comedy returns. #MurphyBrown coming to #CBS. https://t.co/di8GXoVPjh,2018-05-14,41,0.3612,0.2,0.8,0.0
@CBS,RT @StrangeAngel: Play with fire. 🔥 #StrangeAngel launches June 14 on #CBSAllAccess. https://t.co/xiFSkVz1vB https://t.co/Aw3kGeHyj4,2018-05-14,42,0.0,0.152,0.696,0.152
@CBS,"Happy #MothersDay to the moms who comfort us, understand us, and keep us centered. We ❤️ you. https://t.co/4YDmZrTGIC",2018-05-13,43,0.7351,0.279,0.721,0.0
@CBS,The more the merrier! CBS has ordered five more shows that just might become your new favorites next season:… https://t.co/2g5OSj2xPu,2018-05-11,44,0.7245,0.252,0.748,0.0
@CBS,Thinking about the @BlueBloods_CBS season finale like… Don’t miss the surprising reveal TONIGHT at 10/9c. https://t.co/8ExkPFpnFj,2018-05-11,45,0.128,0.119,0.791,0.09
@CBS,"Double the @MomCBS, double the fun! Anyone else feel like they hit the jackpot with the back-to-back Season Finale… https://t.co/ebq8WJLKGf",2018-05-10,46,0.7263,0.253,0.747,0.0
@CBS,"2 suitors, 1 Meemaw and 1 Sheldon. You won’t want to miss the season finale of @YoungSheldon tonight at 8:30/7:30c. https://t.co/Hht2yRE7ly",2018-05-10,47,-0.0772,0.069,0.847,0.085
@CBS,Broadway's Biggest Night is around the corner! Who are you hoping to see? #TonyAwards2018 ✨ https://t.co/KLT8QCxWcK,2018-05-10,48,0.4753,0.181,0.819,0.0
@CBS,"The big day is finally here, and you’re invited. 👰 Make sure to tune in to the @bigbangtheory’s star-studded #ShAmy… https://t.co/la9E6tvQ5b",2018-05-10,49,0.3182,0.108,0.892,0.0
@CBS,"Before the #ShAmy wedding tomorrow, the @bigbangtheory stars &amp; special guests play a game of ""yay or nay"" with thes… https://t.co/ZpCM16qOyT",2018-05-09,50,0.8176,0.333,0.667,0.0
@CBS,Get ready for more laughs! Learn more about the two new comedies coming to CBS: https://t.co/cpT3fd2RH5 https://t.co/NGrcp803zW,2018-05-09,51,0.8395,0.391,0.609,0.0
@CBS,"Goodbyes are never easy.  After 15 seasons, don’t miss Abby’s final episode of @NCIS_CBS tonight at 8/7c.  https://t.co/GTGj2YRJA1",2018-05-08,52,-0.4599,0.0,0.8,0.2
